jng\jng,Xin Zhao,Jarvan IV,Vi,Wukong,Pantheon,Nocturne,Dr. Mundo,Lee Sin,Naafiri,Aatrox,Skarner,Trundle,Ambessa,Zaahen,Qiyana,Jayce,Sejuani,Malphite,Viego,Maokai,Poppy,Kha'Zix,Jax,Nidalee,Olaf,Rek'Sai,Sylas,Volibear,Zyra,Shen,Kindred,Taliyah,Diana,Gwen,Lillia,Graves,Hecarim,Ivern,Nunu & Willump,Shyvana,Zac,Darius,Brand,Karthus,Morgana,Zed,Amumu,Bel'Veth
Kindred,-0.4541,-0.0168,+0.0905,-0.3233,-0.3814,+0.1176,+0.0093,-0.2559,-0.0438,-0.0348,-0.0698,+0.1374,-0.0530,+0.0214,-0.0495,-0.0250,-0.2355,-0.0345,-0.2746,-0.0659,-0.1689,+0.0964,-0.1737,+0.1589,+0.1176,+0.0844,-0.0134,-0.1117,-0.1074,+0.0080,+0.0000,-0.0600,+0.1658,+0.2007,+0.1936,+0.0874,+0.0464,+0.0614,+0.0927,+0.0631,+0.1548,+0.1214,+0.1265,+0.1362,+0.0762,+0.0220,+0.1294,+0.0933
Taliyah,-0.5928,-0.7230,-0.4936,-0.3069,-0.4064,-0.6507,-0.0933,-0.2386,-0.0281,+0.0864,-0.3493,-0.3353,+0.0749,+0.4676,+0.0788,-0.0014,-0.3688,+0.1796,-0.2897,-0.4623,+0.0924,+0.1426,-0.0022,+0.0676,+0.1054,+0.2623,+0.1081,+0.0051,+0.0210,+0.3909,+0.0600,+0.0000,+0.2891,+0.0327,+0.0180,+0.4023,+0.4148,+0.0086,+0.3089,+0.4409,+0.2447,+0.3935,+0.2498,+0.3367,+0.2879,-0.1879,+0.3637,+0.4318
Diana,-0.7788,-0.6260,-0.8716,-0.4774,-0.7841,-0.5782,-0.1125,-0.2984,-0.2471,-0.1387,-0.4468,-0.2216,-0.3086,+0.0162,-0.0957,-0.1738,-0.4409,+0.1137,-0.3657,-0.3196,-0.0657,+0.0386,-0.1356,-0.1027,+0.0300,-0.0189,-0.0934,-0.0926,+0.0914,+0.0957,-0.1658,-0.2891,+0.0000,-0.2130,-0.0910,+0.0660,+0.0580,+0.0489,+0.0802,+0.1035,+0.0291,+0.0577,+0.0092,-0.0267,+0.0801,+0.0042,+0.1480,+0.1091
Gwen,-0.5248,-0.5198,-0.5408,-0.4715,-0.6432,-0.4849,+0.0403,-0.4352,-0.2583,+0.0379,-0.4435,-0.1875,-0.3326,+0.3208,+0.0305,-0.3257,-0.6054,+0.2390,-0.3562,-0.3389,-0.1082,+0.0977,-0.6681,-0.1452,+0.0111,+0.1284,+0.0526,-0.0135,-0.0585,+0.2600,-0.2007,-0.0327,+0.2130,+0.0000,-0.2769,+0.2742,+0.2332,-0.1227,+0.2101,+0.3098,+0.0844,+0.1156,+0.1920,+0.1776,+0.2210,-0.0541,+0.2877,+0.2916
Lillia,-0.3385,-0.6318,-0.5676,+0.1287,-0.4024,-0.2664,+0.3149,-0.3804,+0.1619,+0.0626,+0.4065,+0.3524,+0.0301,+0.2320,+0.0437,+0.0297,+0.4967,+0.1068,-0.3475,+0.0912,+0.0061,+0.1294,+0.2051,+0.0452,+0.1968,+0.2848,+0.1299,+0.0638,+0.0112,+0.1748,-0.1936,-0.0180,+0.0910,+0.2769,+0.0000,+0.1323,+0.0495,+0.0887,+0.1590,+0.0878,+0.1576,+0.1208,+0.1729,+0.1740,+0.2718,-0.0270,+0.0610,+0.1387
Graves,-0.7234,-0.5258,-0.9378,-0.7060,-0.7088,-0.6086,-0.2588,-0.3220,-0.4348,-0.2160,-0.5465,-0.3179,-0.3833,-0.1099,-0.1553,-0.4015,-0.5109,-0.0600,-0.3784,-0.4816,-0.1655,-0.0582,-0.1913,-0.1300,-0.0143,-0.0391,-0.0184,-0.0814,-0.3441,-0.0243,-0.0874,-0.4023,-0.0660,-0.2742,-0.1323,+0.0000,+0.0070,-0.1982,-0.0455,+0.0610,+0.0413,-0.0132,+0.0094,+0.0083,-0.0672,-0.0931,+0.1040,+0.0794
Hecarim,-0.8290,-0.6373,-0.9347,-0.6855,-0.8505,-0.6081,-0.1868,-0.3783,-0.3734,-0.1759,-0.5447,-0.1141,-0.3980,-0.1391,-0.1858,-0.3817,-0.6082,-0.1041,-0.3295,-0.4259,-0.0544,-0.0652,-0.1604,-0.2130,+0.0102,-0.0500,-0.0622,-0.0650,-0.1209,+0.0838,-0.0464,-0.4148,-0.0580,-0.2332,-0.0495,-0.0070,+0.0000,-0.1880,+0.0252,-0.0195,+0.0253,+0.0630,-0.0114,+0.0286,+0.0109,+0.0381,+0.0471,+0.1280
Ivern,-0.5363,-0.6868,-0.6498,-0.3752,-0.4567,-0.3722,-0.0722,-0.3509,-0.2512,-0.0378,+0.3259,+0.2261,-0.1340,+0.1464,+0.0302,-0.0929,-0.1997,+0.0171,-0.1621,+0.3020,+0.1583,+0.1034,+0.0296,-0.0320,+0.0270,+0.2681,+0.0385,-0.0341,-0.1225,+0.1378,-0.0614,-0.0086,-0.0489,+0.1227,-0.0887,+0.1982,+0.1880,+0.0000,+0.0340,+0.2577,+0.1351,+0.1862,-0.0696,+0.1946,+0.2506,-0.0458,+0.1000,+0.2094
Nunu & Willump,-0.9137,-0.7867,-1.0422,-0.6786,-0.7739,-0.7011,-0.2811,-0.3660,-0.4001,-0.2272,-0.5286,-0.4003,-0.3921,-0.1098,-0.1954,-0.4578,-0.6097,-0.0605,-0.3636,-0.3544,+0.0181,-0.0890,-0.1849,-0.1034,-0.0620,-0.0429,-0.1223,-0.0382,-0.1520,+0.0339,-0.0927,-0.3089,-0.0802,-0.2101,-0.1590,+0.0455,-0.0252,-0.0340,+0.0000,+0.0486,+0.0712,+0.0485,-0.0394,+0.0270,+0.0775,-0.0490,+0.1403,+0.1442
Shyvana,-0.8090,-0.7384,-0.9114,-0.5775,-0.9059,-0.5597,-0.1868,-0.3335,-0.3113,-0.2059,-0.5359,-0.2746,-0.4154,-0.1795,-0.0647,-0.4215,-0.5670,-0.1115,-0.3230,-0.2981,-0.0944,-0.1004,-0.2452,-0.0999,-0.0423,-0.0489,+0.0167,-0.0887,-0.2008,+0.0782,-0.0631,-0.4409,-0.1035,-0.3098,-0.0878,-0.0610,+0.0195,-0.2577,-0.0486,+0.0000,-0.0546,+0.0536,-0.1084,-0.0529,-0.0704,-0.0256,+0.0423,+0.0484
