top\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser,Sylas,Akali,Yasuo,Darius,Kled,Gangplank,Yone,Ryze,Garen,Sett,Urgot,Udyr,Vladimir,Maokai,Nidalee,Pantheon,Sejuani,Wukong
Olaf,+0.1188,+0.1390,-0.1062,-0.2869,+0.0798,-0.2337,-0.4202,-0.0095,+0.2620,+0.0153,-0.0906,-0.4111,-0.0929,-0.0122,-0.1630,-0.0289,+0.0500,-0.0092,-0.1213,+0.0419,+0.0000,-0.0153,+0.1375,-0.0830,-0.0199,-0.0201,-0.0490,+0.1917,-0.0267,-0.0281,+0.1374,+0.0305,-0.0584,-0.2211,+0.0705,+0.1515,+0.0525,+0.0649,-0.1062,-0.2534,+0.0040,+0.0914,+0.1116,+0.0269,-0.0387,-0.0622,-0.0417,-0.1419,-0.0729,-0.1343
Malphite,-0.5346,-0.3543,+0.3580,-0.6523,-0.3442,-0.4551,+0.1801,-0.3378,-0.3438,-0.0179,-0.2533,-0.0611,-0.3206,+0.1452,-0.4140,+0.0658,-0.0430,-0.1443,-0.3517,-0.0950,+0.0153,+0.0000,+0.0772,-0.1059,-0.3777,+0.1951,-0.0378,+0.0604,-0.0773,-0.2510,-0.0495,-0.0413,-0.1120,-0.1598,+0.0343,+0.1564,+0.0352,+0.0947,-0.1367,-0.3321,+0.1156,+0.0676,+0.0785,-0.0160,-0.0500,-0.2015,-0.0754,-0.2343,-0.1691,-0.2814
Shen,+0.0835,+0.0169,-0.2574,-0.5504,-0.1108,-0.1495,-0.5368,-0.1951,+0.2275,-0.0988,+0.0937,-0.0543,-0.1639,-0.0961,-0.2824,-0.2430,-0.0159,-0.1781,-0.3512,-0.1351,-0.1375,-0.0772,+0.0000,+0.1585,-0.1482,-0.0451,-0.0866,-0.0705,-0.0661,-0.1302,+0.0114,-0.0593,-0.1330,-0.1660,-0.0908,-0.0916,+0.0364,-0.1354,-0.1037,-0.2928,-0.0157,-0.0514,-0.0515,-0.1324,-0.0681,-0.2604,-0.1187,-0.1602,-0.1120,-0.2788
Camille,+0.3091,+0.3415,+0.2778,-0.0304,-0.6719,+0.8369,-0.1227,-0.1203,+0.4395,-0.0208,+0.1138,-0.3626,+0.1740,+0.1507,+0.0354,-0.1957,+0.0907,-0.0279,-0.1197,+0.0564,+0.0830,+0.1059,-0.1585,+0.0000,+0.0939,-0.0301,+0.1682,-0.2447,-0.0469,+0.1857,+0.1325,+0.0792,+0.1238,-0.0382,+0.1147,-0.0502,+0.2694,+0.0758,-0.1034,-0.0268,+0.1022,+0.1268,+0.0807,+0.1689,+0.1285,+0.0493,+0.1779,+0.0274,-0.0742,-0.2174
Galio,-0.3399,-0.6056,-0.5073,+2.8945,-0.2541,-0.4996,-0.0027,+0.1294,-0.2463,+0.3007,-0.1675,-0.2559,-0.6626,+0.2940,+0.1109,+0.2387,+0.3746,+0.1373,+0.1211,+0.4945,+0.0199,+0.3777,+0.1482,-0.0939,+0.0000,+0.2085,+0.3367,-0.1797,+0.1920,+0.0345,+0.1527,+0.1510,+0.2849,+0.4343,+0.5006,+0.1560,+0.3964,+0.3929,-0.0002,+0.2515,+0.3416,+0.1582,+0.3983,+0.3607,+0.4106,+0.1866,+0.3753,+0.1854,+0.0161,+0.0950
Fiora,+0.1474,+0.1664,-0.1033,-0.7239,-0.4533,-0.4733,-0.5449,+0.1958,+0.0914,+0.0012,-0.0528,-0.3453,+0.1317,+0.0247,-0.4094,-0.0888,+0.0799,-0.1603,-0.5543,-0.0673,+0.0201,-0.1951,+0.0451,+0.0301,-0.2085,+0.0000,-0.1339,-0.0792,-0.0399,+0.0839,+0.0204,+0.0029,-0.1604,-0.3037,-0.0635,-0.1327,-0.0445,-0.0316,-0.1805,-0.2667,-0.0857,-0.0332,+0.0008,-0.1842,-0.0613,-0.0885,-0.1451,-0.3568,-0.2648,-0.3118
Irelia,-0.4032,-0.5354,+0.2445,-0.3457,-0.6248,-0.4845,-0.0912,-0.2164,-0.3859,+0.1193,+0.0579,-0.2687,-0.1768,+0.1889,-0.3185,+0.0656,+0.0808,-0.1664,-0.3219,+0.0392,+0.0490,+0.0378,+0.0866,-0.1682,-0.3367,+0.1339,+0.0000,-0.0147,-0.1329,-0.0411,-0.0548,+0.0387,+0.0676,-0.1746,+0.1133,-0.0007,+0.0830,+0.0610,-0.1278,-0.1381,+0.0510,-0.0086,+0.1406,-0.0085,-0.0099,-0.1212,-0.0419,-0.4342,-0.2437,-0.2812
Poppy,-0.2430,+0.3102,-0.1143,-0.3408,-0.0892,+0.4428,-0.2984,-0.0909,-0.0417,+0.0475,-0.1736,+0.2315,-0.1628,+0.0097,-0.0620,-0.0429,+0.0211,-0.1340,-0.3666,-0.0730,-0.1917,-0.0604,+0.0705,+0.2447,+0.1797,+0.0792,+0.0147,+0.0000,+0.0133,-0.1965,-0.2377,-0.1322,+0.2016,+0.2459,+0.1238,-0.1045,+0.0094,-0.1544,+0.0653,-0.3097,-0.0385,-0.1215,-0.0114,-0.0693,-0.0534,-0.2086,-0.1418,+0.0017,-0.0316,+0.0228
Volibear,-0.2311,-0.3292,-0.3191,-0.2758,-0.1381,+0.1487,-0.2818,-0.1574,-0.1205,+0.0397,+0.0618,-0.2882,-0.1361,+0.1113,-0.2247,+0.0194,+0.0603,-0.1527,-0.3059,+0.0197,+0.0267,+0.0773,+0.0661,+0.0469,-0.1920,+0.0399,+0.1329,-0.0133,+0.0000,+0.0105,+0.0504,-0.0098,+0.0697,-0.0578,+0.1028,+0.0978,+0.0462,+0.1470,-0.0609,-0.1413,+0.0277,+0.0647,+0.0657,+0.0203,+0.0675,-0.0019,-0.0384,-0.1696,-0.1413,-0.1026
Dr. Mundo,+0.2357,-0.1311,-0.3937,-0.3328,-0.1226,-0.4883,-0.1052,-0.2597,-0.0034,-0.0104,-0.0796,-0.0715,-0.4356,+0.0102,-0.1802,+0.1652,+0.0681,+0.1368,-0.3179,-0.0014,+0.0281,+0.2510,+0.1302,-0.1857,-0.0345,-0.0839,+0.0411,+0.1965,-0.0105,+0.0000,-0.0196,+0.0054,-0.0394,-0.1011,+0.1193,+0.0396,+0.0903,+0.1629,-0.2571,-0.1106,+0.0869,+0.0582,+0.2256,+0.1428,+0.1786,+0.1065,-0.0285,-0.1194,+0.0768,+0.0015
Cho'Gath,+1.0239,+0.1183,-0.3625,-0.4660,-0.2820,-0.3720,-0.2548,-0.2310,+0.1096,+0.0004,+0.7393,-0.2684,-0.3058,+0.1458,-0.4042,+0.0276,+0.0877,+0.1752,-0.3553,+0.0029,-0.1374,+0.0495,-0.0114,-0.1325,-0.1527,-0.0204,+0.0548,+0.2377,-0.0504,+0.0196,+0.0000,-0.0054,-0.0507,-0.1143,+0.1097,+0.0169,+0.1071,+0.1441,+0.0006,-0.1982,+0.0203,-0.0403,+0.0949,-0.0045,-0.0254,-0.0223,-0.1981,-0.1658,-0.0343,-0.2304
Mordekaiser,+0.2498,-0.1604,-0.2596,-0.4819,-0.2788,-0.4559,-0.5045,-0.2968,+0.0344,+0.0672,+0.2638,-0.3989,-0.1576,+0.1088,-0.4314,-0.0252,-0.0260,+0.0685,-0.4502,+0.0659,-0.0305,+0.0413,+0.0593,-0.0792,-0.1510,-0.0029,-0.0387,+0.1322,+0.0098,-0.0054,+0.0054,+0.0000,+0.0069,-0.1277,+0.1205,-0.0182,+0.0701,+0.1427,-0.1887,-0.2232,-0.0216,+0.0185,+0.1462,-0.0186,+0.0309,-0.1015,-0.1563,-0.3180,-0.1957,-0.2213
